policy,episode_index,scenario_seed,avg_reward,avg_aodt,tail_aodt,mean_energy,max_energy,violation_rate,avg_queue,final_queue,invalid,wasted,windows,manager_actions,mean_aodt_reward_term,mean_energy_reward_term,uav_window_violation_fraction,manager_inference_time_s_total,manager_inference_time_s_mean,worker_inference_time_s_total,worker_inference_time_s_mean,idle_rate,manager_transitions,uav_switch_fraction,dt_host_switch_fraction,raw_uav_position_change_count,raw_dt_host_change_count,avg_changed_uavs_per_transition,avg_rehosted_entities_per_transition,total_grid_movement_distance,avg_movement_distance_per_uav_transition,count,mean_delay,median_delay,p90_delay,p95_delay,p99_delay,max_delay,fraction_over_0_5s,fraction_over_1_0s,fraction_over_2_0s,fraction_over_slot,system,seed,worker_policy
ppo,0,334159,-5.2550943875312806,5.2550943875312806,7.574196877479552,0.0365903946881492,0.0669089940997461,0.0,0.0,0.0,0,0,60,60,5.2550943875312806,0.0,0.0,0.1211637998349033,0.002019396663915,1.1951946998597125,0.0199199116643285,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1367943882942199,0.0959861278533935,0.300481915473938,0.341189831495285,0.5618073344230652,0.6200604438781738,0.0222222222222222,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,1,334160,-5.35929097175598,5.35929097175598,7.81526640733083,0.03103553232116,0.0616348948950568,0.0,0.0,0.0,0,0,60,60,5.35929097175598,0.0,0.0,0.1143356998218223,0.0019055949970303,1.2593298001447693,0.0209888300024128,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1467917561531067,0.1011833623051643,0.3411347568035126,0.4105246663093567,0.5990931391716003,0.7253777980804443,0.0288888888888888,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,2,334161,-5.4909700870513936,5.4909700870513936,7.958843752543131,0.0338261862285435,0.066605448971192,0.0,0.0,0.0,0,0,60,60,5.4909700870513936,0.0,0.0,0.1169384000240825,0.0019489733337347,1.1938359001651406,0.0198972650027523,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1391764283180236,0.1070717796683311,0.3135599493980407,0.3772199153900146,0.4599339663982391,0.578252911567688,0.0077777777777777,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,3,334162,-5.273289948304494,5.273289948304494,7.661510138511658,0.0359845841769129,0.0674081645905971,0.0,0.0,0.0,0,0,60,60,5.273289948304494,0.0,0.0,0.126539800025057,0.0021089966670842,1.2899880994227717,0.0214998016570461,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.122630126774311,0.0831507593393325,0.2909046709537506,0.3389568030834198,0.4996072351932525,0.5821307301521301,0.01,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,4,334163,-5.35315468152364,5.35315468152364,7.811081468264263,0.0355695157079026,0.0671399823700388,0.0,0.0,0.0,0,0,60,60,5.35315468152364,0.0,0.0,0.1226775999530218,0.0020446266658836,1.3087556996033527,0.0218125949933892,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1333551555871963,0.0969579368829727,0.3261819183826446,0.4101711511611938,0.5827990174293518,0.6672349572181702,0.0244444444444444,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,5,334164,-5.270164645512898,5.270164645512898,7.723694003423054,0.033525121192603,0.0634035817502687,0.0,0.0,0.0,0,0,60,60,5.270164645512898,0.0,0.0,0.1128050000988878,0.0018800833349814,1.1257562005193904,0.0187626033419898,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1293075382709503,0.1019514948129654,0.2748768627643585,0.3411083221435547,0.5641259551048279,0.6920720934867859,0.0166666666666666,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,6,334165,-5.298410936196645,5.298410936196645,7.604726147651672,0.0357452736080934,0.0680760924393932,0.0,0.0,0.0,0,0,60,60,5.298410936196645,0.0,0.0,0.1050564998877234,0.0017509416647953,1.0960820001200773,0.0182680333353346,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1309233158826828,0.0785151273012161,0.3289272785186767,0.4323188364505768,0.5587958693504333,0.658394455909729,0.02,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,7,334166,-5.369773578643799,5.369773578643799,7.732752485275268,0.0306480976752936,0.0633745314242939,0.0,0.0,0.0,0,0,60,60,5.369773578643799,0.0,0.0,0.0982308001257479,0.0016371800020957,1.0577092003077269,0.0176284866717954,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1173594295978546,0.0894100964069366,0.2684240043163299,0.3247534036636352,0.4379770755767822,0.5704840421676636,0.0066666666666666,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,8,334167,-5.293914693991344,5.293914693991344,7.686856466929118,0.0249113168528613,0.0485002406717588,0.0,0.0,0.0,0,0,60,60,5.293914693991344,0.0,0.0,0.1100257999496534,0.0018337633324942,1.076733800699003,0.0179455633449833,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1195651590824127,0.0975247994065284,0.2490054070949554,0.29482102394104,0.4726762473583221,0.5864561200141907,0.0055555555555555,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
ppo,9,334168,-5.366803555488587,5.366803555488587,7.781048685709635,0.0319002685602754,0.0624543835719426,0.0,0.0,0.0,0,0,60,60,5.366803555488587,0.0,0.0,0.1082122997613623,0.001803538329356,1.1173424991429783,0.0186223749857163,0.0,60,0.0,0.0,0,0,0.0,0.0,0.0,0.0,900,0.1120301634073257,0.0641229748725891,0.2782263457775116,0.3472044765949249,0.5230414271354675,0.6152172088623047,0.0144444444444444,0.0,0.0,0.0,ppo_worker_candidate0,51,ppo
