system,seeds,test_mean_aodt,test_std_aodt_across_seeds,test_median_episode_aodt,test_p95_episode_aodt,test_mean_energy,test_positive_violation,test_violation_fraction,test_mean_delay,test_p95_delay,direct_upload_ratio,cross_upload_ratio,idle_rate
PPO worker + PPO manager C0,5,5.532213711994489,0.11209841375818463,5.535848886171977,5.776421269536018,0.04736021095983806,0.0,0.0018833333333333198,0.1553636897840132,0.4423041547324062,0.6426162657917056,0.3573837342082943,0.0
PPO worker + PPO manager C1,5,5.518539814523458,0.10215055718499991,5.511470795075098,5.787339793562889,0.03397281526818396,0.0,0.0,0.1241065181819873,0.35350174282697466,0.5734667227309392,0.42653327726906076,6.666666666666601e-06
