system_a,system_b,mean_diff,ci95_low,ci95_high,t_stat,p_value,cohen_d,wins_a,wins_b,ties,scenario_count,system_a_wins_pct,system_b_wins_pct
greedy_worker_manager,ppo_worker_candidate0,-2.0371179243632156,-2.0486592419706624,-2.025576606755769,-345.95279911330863,1.419263203012777e-278,-24.462557022348793,200,0,0,200,100.0,0.0
greedy_worker_manager,static_heuristic_manager,-2.5964313041738665,-2.664446208991021,-2.528416399356712,-74.82191395932483,1.133058255952091e-147,-5.290708274199499,200,0,0,200,100.0,0.0
ppo_worker_candidate0,static_heuristic_manager,-0.5593133798106511,-0.6255509324873038,-0.49307582713399845,-16.55034312303756,2.9111467888918345e-39,-1.1702859853264,196,4,0,200,98.0,2.0
ppo_worker_candidate0,ppo_worker_candidate1,0.013673897471030547,0.005139343947325167,0.022208450994735927,3.1402742942297426,0.0019450159855207002,0.22205092482356503,83,117,0,200,41.5,58.5
greedy_worker_manager,static_heuristic_manager,-2.5964313041738665,-2.664446208991021,-2.528416399356712,-74.82191395932483,1.133058255952091e-147,-5.290708274199499,200,0,0,200,100.0,0.0
